year,province,gdp,capital,labor,edu
1990,四川,407.422,660.25,5818.2,6.399
1991,四川,444.374,686.32,5973.6,6.564
1992,四川,506.478,730.7,6138.95,6.646
1993,四川,577.169,809.56,6211.75,6.729
1994,四川,647.05,904.73,6238.9,6.893
1995,四川,720.044,1005.47,6296.05,6.976
1996,四川,798.122,1115.81,6315.25,7.058
1997,四川,883.706,1235.3,6301.35,7.169
1998,四川,964.584,1403.74,6243.65,7.286
1999,四川,1032.324,1585.35,6150.786,7.231
2000,四川,1119.856,1789.63,6097.02,7.469
2001,四川,1220.483,2023,6055.419,7.696
2002,四川,1345.838,2300.67,6043.785,7.81
2003,四川,1499.389,2638.81,6079.07,7.938
2004,四川,1687.054,3034.03,6151.026,7.838
2005,四川,1893.446,3467.103,6258.601,7.427
2006,四川,2140.628,3994.958,6396.294,7.524
2007,四川,2463.083,4628.783,6518.226,7.752
2008,四川,2768.979,5409.552,6639.852,7.785
2009,四川,3175.055,6245.446,6767.631,7.991
2010,四川,3680.767,5563.631,6866.724,8.428
1990,贵州,90.462,219.73,1611.3,5.49
1991,贵州,98.784,230.2,1676.6,5.699
1992,贵州,106.786,242.19,1721.6,5.804
1993,贵州,117.892,255.43,1755.9,5.909
1994,贵州,127.794,274.86,1797.8,6.118
1995,贵州,137.379,291.11,1841.35,6.223
1996,贵州,149.606,314.26,1874.6,6.328
1997,贵州,163.07,345.66,1909.6,6.427
1998,贵州,176.931,388.04,1936.7,6.248
1999,贵州,192.501,440.22,1961.106,6.606
2000,贵州,208.671,498.62,2010.909,6.709
2001,贵州,227.034,578.02,2057.075,6.98
2002,贵州,247.694,668.96,2074.822,7.173
2003,贵州,272.712,770.77,2099.911,7.44
2004,贵州,303.801,875.6,2143.629,7.475
2005,贵州,342.383,993.06,2192.334,6.83
2006,贵州,386.209,1128.53,2245.666,6.902
2007,贵州,443.367,1283.665,2279.273,7.136
2008,贵州,493.468,1460.682,2292.336,7.406
2009,贵州,549.723,1683.672,2321.367,7.392
2010,贵州,620.088,1500.057,2371.638,7.691
1990,云南,165.576,33.46,1931.7,5.45
1991,云南,176.504,38.11,1986.8,5.662
1992,云南,195.743,44.84,2043.2,5.768
1993,云南,217.451,52.98,2085.6,5.874
1994,云南,243.936,61.31,2126.65,6.086
1995,云南,272.574,69.7,2166.8,6.192
1996,云南,302.803,79.39,2200.05,6.298
1997,云南,332.296,91.81,2230.7,6.43
1998,云南,359.312,107.81,2258.95,6.372
1999,云南,385.505,123.04,2271.851,6.385
2000,云南,414.495,135.44,2284.426,6.472
2001,云南,442.764,147.98,2308.991,6.681
2002,云南,482.568,162.41,2331.766,6.659
2003,云南,525.131,181.91,2345.322,6.508
2004,云南,584.642,205.42,2375.512,7.323
2005,云南,636.676,236.8,2431.349,6.843
2006,云南,710.53,275.91,2495.758,7.021
2007,云南,797.215,321.422,2565.509,7.039
2008,云南,881.719,356.759,2640.158,7.189
2009,云南,988.407,413.934,2704.852,7.268
2010,云南,1109.981,401.922,2772.156,7.756
1990,西藏,15.172,20.47,108.05,3.537
1991,西藏,15.232,22.78,109.15,3.615
1992,西藏,16.314,25.28,110.35,3.654
1993,西藏,18.842,28.13,112,3.693
1994,西藏,21.801,30.83,112.85,3.772
1995,西藏,25.703,36.81,113.2,3.811
1996,西藏,29.096,40.1,115.7,3.85
1997,西藏,32.529,43.81,119,3.986
1998,西藏,36.465,47.37,119.35,3.775
1999,西藏,40.95,55.46,120.314,3.432
2000,西藏,45.209,64.55,122.795,4.008
2001,西藏,50.951,76.81,124.005,4.446
2002,西藏,57.523,92.52,126.724,4.745
2003,西藏,64.426,112.36,129.74,4.118
2004,西藏,72.221,135.28,132.753,4.785
2005,西藏,80.96,160.62,137.617,4.462
2006,西藏,91.728,189.75,143.854,4.564
2007,西藏,104.57,220.476,150.481,5.018
2008,西藏,115.131,250.3,157.036,5.002
2009,西藏,129.408,288.7,164.741,4.922
2010,西藏,145.325,281.345,172.051,5.865
1990,陕西,118.801,572.72,1573,6.778
1991,陕西,125.572,604.55,1633.7,6.989
1992,陕西,134.237,643.58,1684.15,7.095
1993,陕西,148.734,694.13,1708.8,7.201
1994,陕西,159.741,750.28,1732.35,7.412
1995,陕西,174.597,815.61,1760.55,7.517
1996,陕西,191.882,886.77,1786.1,7.623
1997,陕西,210.686,964.1,1804.85,7.874
1998,陕西,233.44,1113.93,1806.95,7.762
1999,陕西,255.85,1265.22,1791.466,7.945
2000,陕西,280.412,1437.93,1796.87,7.905
2001,陕西,306.21,1621.29,1798.696,8.231
2002,陕西,338.668,1826.84,1828.842,7.976
2003,陕西,376.938,2118.7,1892.213,8.637
2004,陕西,423.678,2422.36,1898.025,8.901
2005,陕西,481.722,2815.33,1883.804,8.568
2006,陕西,548.681,3345.37,1871.242,8.541
2007,陕西,635.373,3934.601,1890.802,8.625
2008,陕西,739.574,4768.319,1934.281,8.747
2009,陕西,840.156,5715.055,1933.02,8.739
2010,陕西,962.819,5091.759,1935.753,9.23
1990,甘肃,157.144,379.86,1046.8,5.781
1991,甘肃,167.469,404.6,1076.5,5.978
1992,甘肃,184.031,433.52,1102.2,6.076
